Sample,Cross,Tank,System,Year,Polyp,UniPolyp,Mesentry,UniMesentary,Egg,D1,D2,AverageDiameter,Treatment
2621,LT,IHP1B,IHP1,2021,5,2621_5,4,2621_5_4,3,0.06,0.06,0.06,Ambient
2621,LT,IHP1B,IHP1,2021,9,2621_9,1,2621_9_1,1,0.17,0.26,0.215,Ambient
2621,LT,IHP1B,IHP1,2021,9,2621_9,1,2621_9_1,2,0.17,0.23,0.2,Ambient
2621,LT,IHP1B,IHP1,2021,9,2621_9,1,2621_9_1,3,0.05,0.08,0.065,Ambient
2621,LT,IHP1B,IHP1,2021,9,2621_9,2,2621_9_2,1,0.16,0.1,0.13,Ambient
2621,LT,IHP1B,IHP1,2021,9,2621_9,2,2621_9_2,2,0.14,0.27,0.205,Ambient
2621,LT,IHP1B,IHP1,2021,9,2621_9,2,2621_9_2,3,0.09,0.08,0.085,Ambient
2621,LT,IHP1B,IHP1,2021,9,2621_9,2,2621_9_2,4,0.04,0.02,0.03,Ambient
2621,LT,IHP1B,IHP1,2021,9,2621_9,3,2621_9_3,1,0.04,0.03,0.035,Ambient
2621,LT,IHP1B,IHP1,2021,9,2621_9,3,2621_9_3,2,0.05,0.09,0.07,Ambient
2621,LT,IHP1B,IHP1,2021,9,2621_9,3,2621_9_3,3,0.07,0.05,0.06,Ambient
2621,LT,IHP1B,IHP1,2021,9,2621_9,3,2621_9_3,4,0.12,0.24,0.18,Ambient
2621,LT,IHP1B,IHP1,2021,9,2621_9,3,2621_9_3,5,0.23,0.12,0.175,Ambient
2621,LT,IHP1B,IHP1,2021,9,2621_9,3,2621_9_3,6,0.04,0.04,0.04,Ambient
2621,LT,IHP1B,IHP1,2021,9,2621_9,3,2621_9_3,7,0.04,0.04,0.04,Ambient
2621,LT,IHP1B,IHP1,2021,9,2621_9,4,2621_9_4,1,0.06,0.03,0.045,Ambient
2621,LT,IHP1B,IHP1,2021,9,2621_9,4,2621_9_4,2,0.18,0.09,0.135,Ambient
2621,LT,IHP1B,IHP1,2021,9,2621_9,4,2621_9_4,3,0.08,0.06,0.07,Ambient
2621,LT,IHP1B,IHP1,2021,9,2621_9,4,2621_9_4,4,0.08,0.08,0.08,Ambient
2621,LT,IHP1B,IHP1,2021,9,2621_9,4,2621_9_4,5,0.24,0.13,0.185,Ambient
2621,LT,IHP1B,IHP1,2021,2,2621_2,1,2621_2_1,1,0.13,0.13,0.13,Ambient
2621,LT,IHP1B,IHP1,2021,2,2621_2,1,2621_2_1,2,0.17,0.2,0.185,Ambient
2621,LT,IHP1B,IHP1,2021,2,2621_2,1,2621_2_1,3,0.15,0.18,0.165,Ambient
2621,LT,IHP1B,IHP1,2021,2,2621_2,1,2621_2_1,4,0.11,0.09,0.1,Ambient
2621,LT,IHP1B,IHP1,2021,2,2621_2,2,2621_2_2,1,0.13,0.11,0.12,Ambient
2621,LT,IHP1B,IHP1,2021,2,2621_2,2,2621_2_2,2,0.17,0.15,0.16,Ambient
2621,LT,IHP1B,IHP1,2021,2,2621_2,2,2621_2_2,3,0.14,0.18,0.16,Ambient
2621,LT,IHP1B,IHP1,2021,2,2621_2,2,2621_2_2,4,0.21,0.15,0.18,Ambient
2621,LT,IHP1B,IHP1,2021,2,2621_2,3,2621_2_3,1,0.17,0.13,0.15,Ambient
2621,LT,IHP1B,IHP1,2021,2,2621_2,3,2621_2_3,2,0.16,0.13,0.145,Ambient
2621,LT,IHP1B,IHP1,2021,2,2621_2,3,2621_2_3,3,0.09,0.07,0.08,Ambient
2621,LT,IHP1B,IHP1,2021,2,2621_2,4,2621_2_4,1,0.04,0.05,0.045,Ambient
2621,LT,IHP1B,IHP1,2021,2,2621_2,4,2621_2_4,2,0.17,0.14,0.155,Ambient
2621,LT,IHP1B,IHP1,2021,2,2621_2,4,2621_2_4,3,0.19,0.13,0.16,Ambient
2621,LT,IHP1B,IHP1,2021,2,2621_2,4,2621_2_4,4,0.25,0.15,0.2,Ambient
5518,LT,SGS4A,SGS4,2021,4,5518_4,1,5518_4_1,1,0.16,0.17,0.165,Elevated
5518,LT,SGS4A,SGS4,2021,4,5518_4,1,5518_4_1,2,0.18,0.18,0.18,Elevated
5518,LT,SGS4A,SGS4,2021,4,5518_4,1,5518_4_1,3,0.13,0.1,0.115,Elevated
5518,LT,SGS4A,SGS4,2021,4,5518_4,1,5518_4_1,4,0.08,0.07,0.075,Elevated
5518,LT,SGS4A,SGS4,2021,4,5518_4,2,5518_4_2,1,0.13,0.13,0.13,Elevated
5518,LT,SGS4A,SGS4,2021,4,5518_4,2,5518_4_2,2,0.21,0.2,0.205,Elevated
5518,LT,SGS4A,SGS4,2021,4,5518_4,2,5518_4_2,3,0.2,0.17,0.185,Elevated
5518,LT,SGS4A,SGS4,2021,4,5518_4,2,5518_4_2,4,0.25,0.16,0.205,Elevated
5518,LT,SGS4A,SGS4,2021,4,5518_4,2,5518_4_2,5,0.14,0.22,0.18,Elevated
5518,LT,SGS4A,SGS4,2021,4,5518_4,2,5518_4_2,6,0.12,0.12,0.12,Elevated
5518,LT,SGS4A,SGS4,2021,4,5518_4,3,5518_4_3,1,0.19,0.18,0.185,Elevated
5518,LT,SGS4A,SGS4,2021,4,5518_4,3,5518_4_3,2,0.16,0.2,0.18,Elevated
5518,LT,SGS4A,SGS4,2021,4,5518_4,3,5518_4_3,3,0.14,0.23,0.185,Elevated
5518,LT,SGS4A,SGS4,2021,4,5518_4,3,5518_4_3,4,0.12,0.11,0.115,Elevated
5518,LT,SGS4A,SGS4,2021,4,5518_4,4,5518_4_4,1,0.18,0.18,0.18,Elevated
5518,LT,SGS4A,SGS4,2021,4,5518_4,4,5518_4_4,2,0.2,0.18,0.19,Elevated
5518,LT,SGS4A,SGS4,2021,4,5518_4,4,5518_4_4,3,0.15,0.15,0.15,Elevated
5518,LT,SGS4A,SGS4,2021,4,5518_4,4,5518_4_4,4,0.2,0.15,0.175,Elevated
5518,LT,SGS4A,SGS4,2021,4,5518_4,4,5518_4_4,5,0.11,0.11,0.11,Elevated
5518,LT,SGS4A,SGS4,2021,7,5518_7,1,5518_7_1,1,0.13,0.17,0.15,Elevated
5518,LT,SGS4A,SGS4,2021,7,5518_7,1,5518_7_1,2,0.25,0.15,0.2,Elevated
5518,LT,SGS4A,SGS4,2021,7,5518_7,2,5518_7_2,1,0.11,0.16,0.135,Elevated
5518,LT,SGS4A,SGS4,2021,7,5518_7,2,5518_7_2,2,0.15,0.21,0.18,Elevated
5518,LT,SGS4A,SGS4,2021,7,5518_7,2,5518_7_2,3,0.22,0.17,0.195,Elevated
5518,LT,SGS4A,SGS4,2021,7,5518_7,2,5518_7_2,4,0.16,0.2,0.18,Elevated
5518,LT,SGS4A,SGS4,2021,7,5518_7,3,5518_7_3,1,0.18,0.16,0.17,Elevated
5518,LT,SGS4A,SGS4,2021,7,5518_7,3,5518_7_3,2,0.19,0.2,0.195,Elevated
5518,LT,SGS4A,SGS4,2021,7,5518_7,3,5518_7_3,3,0.17,0.18,0.175,Elevated
5518,LT,SGS4A,SGS4,2021,7,5518_7,3,5518_7_3,4,0.18,0.17,0.175,Elevated
5518,LT,SGS4A,SGS4,2021,7,5518_7,4,5518_7_4,1,0.13,0.19,0.16,Elevated
5518,LT,SGS4A,SGS4,2021,3,5518_3,1,5518_3_1,1,0.22,0.17,0.195,Elevated
5518,LT,SGS4A,SGS4,2021,3,5518_3,1,5518_3_1,2,0.17,0.18,0.175,Elevated
5518,LT,SGS4A,SGS4,2021,3,5518_3,1,5518_3_1,3,0.22,0.2,0.21,Elevated
5518,LT,SGS4A,SGS4,2021,3,5518_3,1,5518_3_1,4,0.15,0.17,0.16,Elevated
5518,LT,SGS4A,SGS4,2021,3,5518_3,1,5518_3_1,5,0.18,0.23,0.205,Elevated
5518,LT,SGS4A,SGS4,2021,3,5518_3,1,5518_3_1,6,0.22,0.16,0.19,Elevated
5518,LT,SGS4A,SGS4,2021,3,5518_3,1,5518_3_1,7,0.24,0.15,0.195,Elevated
5518,LT,SGS4A,SGS4,2021,3,5518_3,1,5518_3_1,8,0.1,0.09,0.095,Elevated
5518,LT,SGS4A,SGS4,2021,3,5518_3,2,5518_3_2,1,0.14,0.17,0.155,Elevated
5518,LT,SGS4A,SGS4,2021,3,5518_3,2,5518_3_2,2,0.16,0.21,0.185,Elevated
5518,LT,SGS4A,SGS4,2021,3,5518_3,2,5518_3_2,3,0.13,0.21,0.17,Elevated
5518,LT,SGS4A,SGS4,2021,3,5518_3,2,5518_3_2,4,0.13,0.2,0.165,Elevated
5518,LT,SGS4A,SGS4,2021,3,5518_3,2,5518_3_2,5,0.19,0.2,0.195,Elevated
5518,LT,SGS4A,SGS4,2021,3,5518_3,2,5518_3_2,6,0.17,0.2,0.185,Elevated
5518,LT,SGS4A,SGS4,2021,3,5518_3,2,5518_3_2,7,0.14,0.16,0.15,Elevated
5518,LT,SGS4A,SGS4,2021,3,5518_3,2,5518_3_2,8,0.13,0.15,0.14,Elevated
5518,LT,SGS4A,SGS4,2021,3,5518_3,2,5518_3_2,9,0.28,0.15,0.215,Elevated
5518,LT,SGS4A,SGS4,2021,3,5518_3,3,5518_3_3,1,0.18,0.27,0.225,Elevated
5518,LT,SGS4A,SGS4,2021,3,5518_3,3,5518_3_3,2,0.2,0.19,0.195,Elevated
5518,LT,SGS4A,SGS4,2021,3,5518_3,3,5518_3_3,3,0.2,0.22,0.21,Elevated
5518,LT,SGS4A,SGS4,2021,3,5518_3,3,5518_3_3,4,0.19,0.21,0.2,Elevated
5518,LT,SGS4A,SGS4,2021,3,5518_3,4,5518_3_4,1,0.18,0.3,0.24,Elevated
5518,LT,SGS4A,SGS4,2021,3,5518_3,4,5518_3_4,2,0.24,0.23,0.235,Elevated
5518,LT,SGS4A,SGS4,2021,3,5518_3,4,5518_3_4,3,0.17,0.19,0.18,Elevated
5518,LT,SGS4A,SGS4,2021,3,5518_3,4,5518_3_4,4,0.16,0.17,0.165,Elevated
5518,LT,SGS4A,SGS4,2021,3,5518_3,4,5518_3_4,5,0.16,0.15,0.155,Elevated
5518,LT,SGS4A,SGS4,2021,10,5518_10,1,5518_10_1,1,0.25,0.11,0.18,Elevated
5518,LT,SGS4A,SGS4,2021,10,5518_10,1,5518_10_1,2,0.25,0.14,0.195,Elevated
5518,LT,SGS4A,SGS4,2021,10,5518_10,1,5518_10_1,3,0.12,0.29,0.205,Elevated
5518,LT,SGS4A,SGS4,2021,10,5518_10,1,5518_10_1,4,0.3,0.12,0.21,Elevated
5518,LT,SGS4A,SGS4,2021,10,5518_10,1,5518_10_1,5,0.28,0.1,0.19,Elevated
5518,LT,SGS4A,SGS4,2021,10,5518_10,2,5518_10_2,1,0.14,0.23,0.185,Elevated
5518,LT,SGS4A,SGS4,2021,10,5518_10,2,5518_10_2,2,0.26,0.15,0.205,Elevated
5518,LT,SGS4A,SGS4,2021,10,5518_10,2,5518_10_2,3,0.13,0.27,0.2,Elevated
5518,LT,SGS4A,SGS4,2021,10,5518_10,2,5518_10_2,4,0.2,0.12,0.16,Elevated
5518,LT,SGS4A,SGS4,2021,10,5518_10,3,5518_10_3,1,0.15,0.21,0.18,Elevated
5518,LT,SGS4A,SGS4,2021,10,5518_10,3,5518_10_3,2,0.29,0.18,0.235,Elevated
5518,LT,SGS4A,SGS4,2021,10,5518_10,3,5518_10_3,3,0.17,0.24,0.205,Elevated
5518,LT,SGS4A,SGS4,2021,10,5518_10,3,5518_10_3,4,0.29,0.16,0.225,Elevated
5518,LT,SGS4A,SGS4,2021,10,5518_10,3,5518_10_3,5,0.19,0.29,0.24,Elevated
5518,LT,SGS4A,SGS4,2021,10,5518_10,3,5518_10_3,6,0.27,0.18,0.225,Elevated
5518,LT,SGS4A,SGS4,2021,10,5518_10,3,5518_10_3,7,0.17,0.13,0.15,Elevated
5518,LT,SGS4A,SGS4,2021,10,5518_10,3,5518_10_3,8,0.19,0.18,0.185,Elevated
2547,LT,SGS4B,SGS4,2021,4,2547_4,1,2547_4_1,1,0.14,0.22,0.18,Ambient
2547,LT,SGS4B,SGS4,2021,4,2547_4,1,2547_4_1,2,0.18,0.17,0.175,Ambient
2547,LT,SGS4B,SGS4,2021,4,2547_4,1,2547_4_1,3,0.18,0.2,0.19,Ambient
2547,LT,SGS4B,SGS4,2021,4,2547_4,1,2547_4_1,4,0.26,0.16,0.21,Ambient
2547,LT,SGS4B,SGS4,2021,4,2547_4,2,2547_4_2,1,0.13,0.2,0.165,Ambient
2547,LT,SGS4B,SGS4,2021,4,2547_4,2,2547_4_2,2,0.2,0.15,0.175,Ambient
2547,LT,SGS4B,SGS4,2021,4,2547_4,2,2547_4_2,3,0.18,0.23,0.205,Ambient
2547,LT,SGS4B,SGS4,2021,4,2547_4,3,2547_4_3,1,0.16,0.24,0.2,Ambient
2547,LT,SGS4B,SGS4,2021,4,2547_4,3,2547_4_3,2,0.19,0.18,0.185,Ambient
2547,LT,SGS4B,SGS4,2021,4,2547_4,3,2547_4_3,3,0.18,0.15,0.165,Ambient
2547,LT,SGS4B,SGS4,2021,4,2547_4,3,2547_4_3,4,0.16,0.25,0.205,Ambient
2547,LT,SGS4B,SGS4,2021,4,2547_4,4,2547_4_4,1,0.15,0.16,0.155,Ambient
2547,LT,SGS4B,SGS4,2021,4,2547_4,4,2547_4_4,2,0.2,0.17,0.185,Ambient
2547,LT,SGS4B,SGS4,2021,4,2547_4,4,2547_4_4,3,0.26,0.16,0.21,Ambient
2547,LT,SGS4B,SGS4,2021,4,2547_4,4,2547_4_4,4,0.22,0.22,0.22,Ambient
2547,LT,SGS4B,SGS4,2021,5,2547_5,1,2547_5_1,1,0.24,0.2,0.22,Ambient
2547,LT,SGS4B,SGS4,2021,5,2547_5,1,2547_5_1,2,0.28,0.19,0.235,Ambient
2547,LT,SGS4B,SGS4,2021,5,2547_5,1,2547_5_1,3,0.24,0.17,0.205,Ambient
2547,LT,SGS4B,SGS4,2021,5,2547_5,1,2547_5_1,4,0.22,0.16,0.19,Ambient
2547,LT,SGS4B,SGS4,2021,5,2547_5,1,2547_5_1,5,0.16,0.19,0.175,Ambient
2547,LT,SGS4B,SGS4,2021,5,2547_5,2,2547_5_2,1,0.28,0.14,0.21,Ambient
2547,LT,SGS4B,SGS4,2021,5,2547_5,3,2547_5_3,1,0.15,0.27,0.21,Ambient
2547,LT,SGS4B,SGS4,2021,5,2547_5,3,2547_5_3,2,0.26,0.17,0.215,Ambient
2547,LT,SGS4B,SGS4,2021,5,2547_5,3,2547_5_3,3,0.19,0.34,0.265,Ambient
2547,LT,SGS4B,SGS4,2021,5,2547_5,4,2547_5_4,1,0.22,0.14,0.18,Ambient
2547,LT,SGS4B,SGS4,2021,5,2547_5,4,2547_5_4,2,0.15,0.23,0.19,Ambient
2547,LT,SGS4B,SGS4,2021,5,2547_5,4,2547_5_4,3,0.2,0.25,0.225,Ambient
2547,LT,SGS4B,SGS4,2021,5,2547_5,4,2547_5_4,4,0.19,0.3,0.245,Ambient
2547,LT,SGS4B,SGS4,2021,7,2547_7,1,2547_7_1,1,0.31,0.09,0.2,Ambient
2547,LT,SGS4B,SGS4,2021,7,2547_7,1,2547_7_1,2,0.1,0.29,0.195,Ambient
2547,LT,SGS4B,SGS4,2021,7,2547_7,1,2547_7_1,3,0.31,0.19,0.25,Ambient
2547,LT,SGS4B,SGS4,2021,7,2547_7,1,2547_7_1,4,0.16,0.25,0.205,Ambient
2547,LT,SGS4B,SGS4,2021,7,2547_7,2,2547_7_2,1,0.25,0.17,0.21,Ambient
2547,LT,SGS4B,SGS4,2021,7,2547_7,2,2547_7_2,2,0.25,0.17,0.21,Ambient
2547,LT,SGS4B,SGS4,2021,7,2547_7,2,2547_7_2,3,0.24,0.11,0.175,Ambient
2547,LT,SGS4B,SGS4,2021,7,2547_7,2,2547_7_2,4,0.13,0.23,0.18,Ambient
2547,LT,SGS4B,SGS4,2021,7,2547_7,3,2547_7_3,1,0.14,0.31,0.225,Ambient
2547,LT,SGS4B,SGS4,2021,7,2547_7,3,2547_7_3,2,0.13,0.31,0.22,Ambient
2547,LT,SGS4B,SGS4,2021,7,2547_7,3,2547_7_3,3,0.12,0.32,0.22,Ambient
2547,LT,SGS4B,SGS4,2021,7,2547_7,3,2547_7_3,4,0.12,0.27,0.195,Ambient
2547,LT,SGS4B,SGS4,2021,7,2547_7,4,2547_7_4,1,0.26,0.13,0.195,Ambient
2547,LT,SGS4B,SGS4,2021,7,2547_7,4,2547_7_4,2,0.18,0.21,0.195,Ambient
2547,LT,SGS4B,SGS4,2021,7,2547_7,4,2547_7_4,3,0.16,0.23,0.195,Ambient
2547,LT,SGS4B,SGS4,2021,9,2547_9,1,2547_9_1,1,0.12,0.24,0.18,Ambient
2547,LT,SGS4B,SGS4,2021,9,2547_9,1,2547_9_1,2,0.21,0.16,0.185,Ambient
2547,LT,SGS4B,SGS4,2021,9,2547_9,1,2547_9_1,3,0.19,0.19,0.19,Ambient
2547,LT,SGS4B,SGS4,2021,9,2547_9,1,2547_9_1,4,0.2,0.14,0.17,Ambient
2547,LT,SGS4B,SGS4,2021,9,2547_9,1,2547_9_1,5,0.21,0.16,0.185,Ambient
2547,LT,SGS4B,SGS4,2021,9,2547_9,1,2547_9_1,6,0.21,0.12,0.165,Ambient
2547,LT,SGS4B,SGS4,2021,9,2547_9,1,2547_9_1,7,0.15,0.17,0.16,Ambient
2547,LT,SGS4B,SGS4,2021,9,2547_9,1,2547_9_1,8,0.17,0.19,0.18,Ambient
2547,LT,SGS4B,SGS4,2021,9,2547_9,2,2547_9_2,1,0.16,0.17,0.165,Ambient
2547,LT,SGS4B,SGS4,2021,9,2547_9,2,2547_9_2,2,0.2,0.16,0.18,Ambient
2547,LT,SGS4B,SGS4,2021,9,2547_9,2,2547_9_2,3,0.16,0.23,0.195,Ambient
2547,LT,SGS4B,SGS4,2021,9,2547_9,2,2547_9_2,4,0.18,0.18,0.18,Ambient
2547,LT,SGS4B,SGS4,2021,9,2547_9,2,2547_9_2,5,0.23,0.15,0.19,Ambient
2547,LT,SGS4B,SGS4,2021,9,2547_9,2,2547_9_2,6,0.26,0.17,0.215,Ambient
2547,LT,SGS4B,SGS4,2021,9,2547_9,3,2547_9_3,1,0.14,0.21,0.175,Ambient
2547,LT,SGS4B,SGS4,2021,9,2547_9,3,2547_9_3,2,0.12,0.21,0.165,Ambient
2547,LT,SGS4B,SGS4,2021,9,2547_9,3,2547_9_3,3,0.12,0.25,0.185,Ambient
2547,LT,SGS4B,SGS4,2021,9,2547_9,3,2547_9_3,4,0.11,0.15,0.13,Ambient
2547,LT,SGS4B,SGS4,2021,9,2547_9,3,2547_9_3,5,0.14,0.18,0.16,Ambient
2547,LT,SGS4B,SGS4,2021,9,2547_9,3,2547_9_3,6,0.14,0.15,0.145,Ambient
2547,LT,SGS4B,SGS4,2021,9,2547_9,3,2547_9_3,7,0.14,0.15,0.145,Ambient
2547,LT,SGS4B,SGS4,2021,9,2547_9,4,2547_9_4,1,0.12,0.31,0.215,Ambient
2547,LT,SGS4B,SGS4,2021,9,2547_9,4,2547_9_4,2,0.23,0.14,0.185,Ambient
2547,LT,SGS4B,SGS4,2021,9,2547_9,4,2547_9_4,3,0.18,0.15,0.165,Ambient
2547,LT,SGS4B,SGS4,2021,9,2547_9,4,2547_9_4,4,0.16,0.15,0.155,Ambient
2547,LT,SGS4B,SGS4,2021,9,2547_9,4,2547_9_4,5,0.12,0.2,0.16,Ambient
2580,LT,IHP1C,IHP1,2021,9,2580_9,1,2580_9_1,1,0.19,0.23,0.21,Ambient
2580,LT,IHP1C,IHP1,2021,9,2580_9,1,2580_9_1,2,0.19,0.25,0.22,Ambient
2580,LT,IHP1C,IHP1,2021,9,2580_9,2,2580_9_2,1,0.11,0.4,0.255,Ambient
2580,LT,IHP1C,IHP1,2021,9,2580_9,2,2580_9_2,2,0.12,0.38,0.25,Ambient
2580,LT,IHP1C,IHP1,2021,9,2580_9,2,2580_9_2,3,0.13,0.4,0.265,Ambient
2580,LT,IHP1C,IHP1,2021,2,2580_2,1,2580_2_1,1,0.18,0.23,0.205,Ambient
2580,LT,IHP1C,IHP1,2021,2,2580_2,1,2580_2_1,2,0.2,0.2,0.2,Ambient
2580,LT,IHP1C,IHP1,2021,2,2580_2,1,2580_2_1,3,0.28,0.19,0.235,Ambient
2580,LT,IHP1C,IHP1,2021,2,2580_2,2,2580_2_2,1,0.2,0.18,0.19,Ambient
2580,LT,IHP1C,IHP1,2021,2,2580_2,2,2580_2_2,2,0.25,0.18,0.215,Ambient
2580,LT,IHP1C,IHP1,2021,2,2580_2,3,2580_2_3,1,0.14,0.32,0.23,Ambient
2580,LT,IHP1C,IHP1,2021,2,2580_2,3,2580_2_3,2,0.27,0.16,0.215,Ambient
2580,LT,IHP1C,IHP1,2021,2,2580_2,3,2580_2_3,3,0.13,0.31,0.22,Ambient
2580,LT,IHP1C,IHP1,2021,2,2580_2,3,2580_2_3,4,0.12,0.14,0.13,Ambient
2580,LT,IHP1C,IHP1,2021,2,2580_2,4,2580_2_4,1,0.16,0.33,0.245,Ambient
2580,LT,IHP1C,IHP1,2021,5,2580_5,1,2580_5_1,1,0.38,0.13,0.255,Ambient
2580,LT,IHP1C,IHP1,2021,5,2580_5,2,2580_5_2,1,0.15,0.34,0.245,Ambient
2580,LT,IHP1C,IHP1,2021,5,2580_5,3,2580_5_3,1,0.16,0.29,0.225,Ambient
2580,LT,IHP1C,IHP1,2021,5,2580_5,3,2580_5_3,2,0.17,0.25,0.21,Ambient
2580,LT,IHP1C,IHP1,2021,5,2580_5,4,2580_5_4,1,0.23,0.12,0.175,Ambient
2580,LT,IHP1C,IHP1,2021,5,2580_5,4,2580_5_4,2,0.15,0.22,0.185,Ambient
2580,LT,IHP1C,IHP1,2021,3,2580_3,1,2580_3_1,1,0.15,0.31,0.23,Ambient
2580,LT,IHP1C,IHP1,2021,3,2580_3,2,2580_3_2,1,0.39,0.11,0.25,Ambient
2580,LT,IHP1C,IHP1,2021,3,2580_3,3,2580_3_3,1,0.16,0.21,0.185,Ambient
2580,LT,IHP1C,IHP1,2021,3,2580_3,3,2580_3_3,2,0.16,0.17,0.165,Ambient
2580,LT,IHP1C,IHP1,2021,3,2580_3,4,2580_3_4,1,0.11,0.27,0.19,Ambient
2580,LT,IHP1C,IHP1,2021,3,2580_3,4,2580_3_4,2,0.2,0.15,0.175,Ambient
2564,LT,IHP1B,IHP1,2021,3,2564_3,1,2564_3_1,1,0.11,0.32,0.215,Ambient
2564,LT,IHP1B,IHP1,2021,3,2564_3,1,2564_3_1,2,0.14,0.33,0.235,Ambient
2564,LT,IHP1B,IHP1,2021,3,2564_3,2,2564_3_2,1,0.1,0.13,0.115,Ambient
2564,LT,IHP1B,IHP1,2021,3,2564_3,2,2564_3_2,2,0.18,0.13,0.155,Ambient
2564,LT,IHP1B,IHP1,2021,3,2564_3,3,2564_3_3,1,0.27,0.18,0.225,Ambient
2564,LT,IHP1B,IHP1,2021,3,2564_3,3,2564_3_3,2,0.17,0.25,0.21,Ambient
2564,LT,IHP1B,IHP1,2021,3,2564_3,3,2564_3_3,3,0.13,0.27,0.2,Ambient
2564,LT,IHP1B,IHP1,2021,4,2564_4,1,2564_4_1,1,0.14,0.2,0.17,Ambient
2564,LT,IHP1B,IHP1,2021,4,2564_4,1,2564_4_1,2,0.12,0.26,0.19,Ambient
2564,LT,IHP1B,IHP1,2021,8,2564_8,4,2564_8_4,1,0.1,0.23,0.165,Ambient
2564,LT,IHP1B,IHP1,2021,8,2564_8,4,2564_8_4,2,0.27,0.11,0.19,Ambient
2596,LT,IHP1A,IHP1,2021,1,2596_1,1,2596_1_1,1,0.18,0.2,0.19,Elevated
2596,LT,IHP1A,IHP1,2021,1,2596_1,1,2596_1_1,2,0.25,0.18,0.215,Elevated
2596,LT,IHP1A,IHP1,2021,1,2596_1,2,2596_1_2,1,0.19,0.23,0.21,Elevated
2596,LT,IHP1A,IHP1,2021,1,2596_1,2,2596_1_2,2,0.15,0.2,0.175,Elevated
2596,LT,IHP1A,IHP1,2021,1,2596_1,2,2596_1_2,3,0.16,0.18,0.17,Elevated
2596,LT,IHP1A,IHP1,2021,1,2596_1,2,2596_1_2,4,0.08,0.21,0.145,Elevated
2596,LT,IHP1A,IHP1,2021,1,2596_1,3,2596_1_3,1,0.17,0.28,0.225,Elevated
2596,LT,IHP1A,IHP1,2021,1,2596_1,3,2596_1_3,2,0.22,0.15,0.185,Elevated
2596,LT,IHP1A,IHP1,2021,1,2596_1,3,2596_1_3,3,0.23,0.2,0.215,Elevated
2596,LT,IHP1A,IHP1,2021,1,2596_1,4,2596_1_4,1,0.26,0.11,0.185,Elevated
